apply	v.	nộp đơn	You may apply for the opening online.	Bạn có thể nộp đơn vị trí trống trực tuyến.	applicant
application	n.	đơn ứng tuyển	Incomplete applications will not be reviewed.	Đơn không đầy đủ sẽ không được xét.	applicant
employer	n.	nhà tuyển dụng	The employer offers flexible hours.	Nhà tuyển dụng cho giờ làm linh hoạt.	employee
employment	n.	việc làm	Seasonal employment begins in June.	Việc làm theo mùa bắt đầu vào tháng Sáu.	employee
unemployed	adj.	thất nghiệp	The city runs a program for unemployed workers.	Thành phố có chương trình cho người thất nghiệp.	applicant
skilled	adj.	có tay nghề	We need skilled technicians for the night shift.	Chúng tôi cần kỹ thuật viên có tay nghề cho ca đêm.	employee
expertise	n.	chuyên môn	Her expertise in logistics saved two days.	Chuyên môn logistics của cô ấy tiết kiệm hai ngày.	shipment
proficient	adj.	thành thạo	Applicants must be proficient in English.	Ứng viên phải thành thạo tiếng Anh.	applicant
capable	adj.	có năng lực	He is capable of leading the sales team.	Anh ấy có năng lực dẫn dắt nhóm bán hàng.	employee
dedicated	adj.	tận tâm	A dedicated staff member greeted every guest.	Một nhân viên tận tâm chào mọi khách.	employee
dependable	adj.	đáng tin	We hired a dependable driver for deliveries.	Chúng tôi thuê tài xế đáng tin cho giao hàng.	shipment
diligent	adj.	siêng năng	The intern is diligent about filing papers.	Thực tập sinh siêng năng lưu giấy tờ.	employee
punctual	adj.	đúng giờ	Please be punctual for the 9 a.m. briefing.	Vui lòng đúng giờ buổi phổ biến 9 giờ sáng.	deadline
tardy	adj.	đi trễ	Three tardy arrivals will be noted in the file.	Ba lần đến trễ sẽ được ghi vào hồ sơ.	deadline
absent	adj.	vắng mặt	Two clerks were absent because of the storm.	Hai nhân viên vắng vì bão.	employee
absence	n.	sự vắng mặt	Please report your absence to the supervisor.	Vui lòng báo sự vắng mặt cho người giám sát.	employee
attendance	n.	sự có mặt	Attendance at the fire drill is required.	Có mặt ở buổi diễn tập cháy là bắt buộc.	employee
coworker	n.	đồng nghiệp	Ask a coworker to cover your desk at lunch.	Nhờ đồng nghiệp trông bàn giúp lúc ăn trưa.	employee
mentor	n.	người hướng dẫn	A mentor will help you during the first month.	Người hướng dẫn sẽ giúp bạn trong tháng đầu.	employee
apprentice	n.	người học việc	The apprentice learned to operate the press.	Người học việc học vận hành máy in.	inventory
veteran	n.	người kỳ cựu	A veteran clerk trained the new cashier.	Nhân viên kỳ cựu đào tạo thu ngân mới.	employee
junior	adj.	cấp thấp	The junior analyst sits on the second floor.	Chuyên viên phân tích cấp thấp ngồi tầng hai.	employee
